Game_Date,Team_Name,Location,Q1,Q2,Q3,Q4,Total_Score
2023-12-06T00:00:00,Magic,Away,20,32,34,25,111
2023-12-02T00:00:00,Magic,Away,22,29,34,16,101
2023-12-01T00:00:00,Magic,Home,31,27,34,38,130
2023-11-29T00:00:00,Magic,Home,31,35,36,37,139
2023-11-26T00:00:00,Magic,Home,25,36,31,38,130
2023-11-24T00:00:00,Magic,Home,19,29,29,36,113
2023-11-22T00:00:00,Magic,Home,28,28,26,42,124
2023-11-21T00:00:00,Magic,Home,30,37,33,26,126
2023-11-19T00:00:00,Magic,Away,42,36,29,21,128
2023-11-17T00:00:00,Magic,Away,23,25,29,26,103
2023-11-15T00:00:00,Magic,Away,21,29,23,23,96
2023-11-14T00:00:00,Magic,Away,24,36,26,18,104
2023-11-11T00:00:00,Magic,Home,29,36,23,24,112
2023-11-09T00:00:00,Magic,Home,34,35,29,21,119
2023-11-06T00:00:00,Magic,Home,33,33,17,19,102
2023-11-04T00:00:00,Magic,Home,39,28,34,19,120
2023-11-02T00:00:00,Magic,Away,30,36,24,25,115
2023-10-31T00:00:00,Magic,Away,18,32,21,31,102
2023-10-30T00:00:00,Magic,Away,24,34,22,23,103
2023-10-27T00:00:00,Magic,Away,31,32,19,20,102
2023-10-25T00:00:00,Magic,Home,29,25,33,29,116
2023-12-16T00:00:00,Pacers,Away,20,35,23,31,109
2023-12-15T00:00:00,Pacers,Away,37,18,32,36,123
2023-12-13T00:00:00,Pacers,Away,33,30,31,32,126
2023-12-11T00:00:00,Pacers,Away,33,33,32,33,131
2023-12-07T00:00:00,Pacers,Away,27,36,28,37,128
2023-12-04T00:00:00,Pacers,Home,22,26,37,37,122
2023-12-02T00:00:00,Pacers,Away,25,40,41,38,144
2023-11-30T00:00:00,Pacers,Away,38,35,27,32,132
